"establecimiento_curt","establecimiento_razon_social","direccion","localidad_descripcion","partido_descripcion","subcuenca","lat","lon","estado_ac"
"423017821","LA TERESA S.A.C.I","LA RIOJA 2646","LANUS OESTE","LANUS","Cuenca Baja Riachuelo",-34.69499588,-58.41383362,"AGENTE CONTAMINANTE VIGENTE"
"426052829","CURTIDURIA A. GAITA SRL","JOSE I. RUCCI 1537","VALENTIN ALSINA","LANUS","Cuenca Baja Riachuelo",-34.6791687,-58.41396332,"AGENTE CONTAMINANTE VIGENTE"
"423052860","CURTIDURIA A. GAITA SRL","CARLOS PELLEGRINI 3946","LANUS OESTE","LANUS","Cuenca Baja Riachuelo",-34.6854788,-58.4432672,"AGENTE CONTAMINANTE VIGENTE"
"9977940","COOPERATIVA DE TRABAJO PANTIN  LTDA ( EX PANTIN SA - CURT:423035832)","FARRELL 2349","VILLA DIAMANTE","LANUS","Cuenca Baja Riachuelo",-34.684817,-58.422375,"AGENTE CONTAMINANTE VIGENTE"
"293000107","JORGE LUIS TOLOSA S.A.","RUTA 200 Km 69,5","GENERAL LAS HERAS (EST. LAS HERAS)","GENERAL LAS HERAS","Cuenca Alta A�� Rodriguez",-34.93545532,-58.97470474,"AGENTE CONTAMINANTE VIGENTE"
"420002356","SAF ARGENTINA S.A.","PUMACAHUA 6640","VIRREY DEL PINO","LA MATANZA","Cuenca Media A�� Chacon",-34.88734818,-58.67731857,"AGENTE CONTAMINANTE VIGENTE"
"238062573","LA GANADERA ARENALES S.A.","GENERAL ARENALES 1911","MONTE GRANDE","ESTEBAN ECHEVERRIA","Cuenca Media A�� Ortega",-34.84399414,-58.47649002,"AGENTE CONTAMINANTE VIGENTE"
"420026512","COTO C.I.C.S.A.","BRIGADIER GENERAL JUAN MANUEL DE ROSAS 27350","VIRREY DEL PINO","LA MATANZA","Cuenca Media A�� Chacon",-34.88227081,-58.67900848,"AGENTE CONTAMINANTE VIGENTE"
"426005085","MAPAR S.A.","PAMPA 1007","VALENTIN ALSINA","LANUS","Cuenca Baja Riachuelo",-34.66739655,-58.41867447,"AGENTE CONTAMINANTE VIGENTE"
"420233859","CERYVAC S.A.","HERRERA 6399","VIRREY DEL PINO","LA MATANZA","Cuenca Media Rio Matanza",-34.85630035,-58.65209961,"AGENTE CONTAMINANTE VIGENTE"
"423064948","ALGIPEL S.A","CORONEL MOLINEDO 2260","LANUS OESTE","LANUS","Cuenca Baja Riachuelo",-34.67980576,-58.42432785,"AGENTE CONTAMINANTE VIGENTE"
"426089702","SOLOFRACUER S.A.","ITAPIR�? 2454","VALENTIN ALSINA","LANUS","Cuenca Baja Riachuelo",-34.68188858,-58.42567825,"AGENTE CONTAMINANTE VIGENTE"
"293065922","DETWILER","RUTA 200 KM70,500 SN","GENERAL LAS HERAS (EST. LAS HERAS)","GENERAL LAS HERAS","Cuenca Alta A�� Rodriguez",-34.93707275,-58.98641205,"AGENTE CONTAMINANTE VIGENTE"
"423050705","SKINMAX S.A.","TALCAHUANO 2944","LANUS OESTE","LANUS","Cuenca Baja Riachuelo",-34.68368912,-58.42108536,"AGENTE CONTAMINANTE VIGENTE"
"135035243","FRIGORIFICO CAÑUELAS SRL","CARLOS PELEGRINI 849","CAÑUELAS","CAÑUELAS","Cuenca Alta A�� Navarrete y Canuelas",-35.05989705,-58.74087943,"AGENTE CONTAMINANTE VIGENTE"
